division,isco_08_code,isco_08_title,occupation_code,occupation_name,occupation_description,qualification_pack_reference,nswf_level
1,1120,"Managing Directors and Chief
 Executives",c_1120.0400,"Director, Electricity","Director, Electricity heads the organization
 and is supported by more than one
 manager. Determines, plans, organizes
 and controls in broad outline, within
 authority delegated, activities of private
 or public organizations or establishments
 or one or more of its branches,
 departments, etc. engaged in generation,
 transmission and distribution of electricity
 to domestic and industrial consumers. Is
 designated according to work performed
 or powers exercised.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.0500,"Director, Gas","Director, Gas heads the organization and
 is supported by more than one manager.
 Determines, plans, organizes and controls,
 within authority delegated activities of
 public or private organizations or
 enterprises, or one or more of its
 departments, sections or branches,
 engaged in manufacture of gas,
 distribution and supply of gas to
 consumers and production and supply of
 steam for heat and power. Is designated
 according to work performed or powers
 exercised.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.0600,"Director, Water Supply","Director, Water Supply heads the
 organization and is supported by more
 than one manager. Determines, plans,
 organizes and co-ordinates, within
 authority delegated, activities of public or
 private organizations engaged in storage,
 filtration, purification and supply of water.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.0700,"Director, Bank","Director, Bank sets broad policies and
 plans and supervises in general way,
 within authority delegated, efficient
 operation of private or public bank or
 major segment of it. May be designated
 according to authority delegated or work
 performed such as: GOVERNOR (BANK),
 CHAIRMAN (BANK), MANAGING
 DIRECTOR (BANK).",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.0800,"Director, Insurance","Director, Insurance sets broad policies,
 plans and co-ordinates within authority
 delegated, activities of private or public
 organization, or major segment of it,
 dealing in life, fire, accident, marine and
 other general insurance business. Is
 designated according to work performed
 or authority exercised, such as:
 CHAIRMAN, LIFE INSURANCE
 CORPORATION, MANAGING DIRECTOR,
 (INSURANCE), DIRECTOR, INVESTMENTS
 (INSURANCE).",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.0900,"Working Proprietor,
 Mines/Proprietor, Mines","Working Proprietor, Mines plans,
 organizes, directs and controls the
 enterprise wholly or partially and is
 engaged in economic activities related to
 extraction of coal, ore, mica, precious
 stones and other minerals from
 underground mines or open pits, and
 treatment of minerals for use by
 consumers. Is designated according to
 mineral extracted such as: WORKING
 PROPRIETOR, GOLD MINE, WORKING
 PROPRIETOR, DIAMOND MINE, WORKING
 PROPRIETOR, COAL MINE, WORKING
 PROPRIETOR, IRON MINE, WORKING
 PROPRIETOR, MANGANESE, MINE
 WORKING PROPRIETOR, COPPER MINE
 WORKING PROPRIETOR, MICA MINE.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.1000,"Working Proprietor,
 Quarry/Proprietor, Quarry","Working Proprietor, Quarry plans,
 organizes, directs and controls the
 enterprise, wholly or partially and is
 engaged in economic activities related to
 extraction of stone, slate, sand and clay
 from earth. Is designated according to the
 material quarried such as:
 WORKING PROPRIETOR, STONE QUARRY,
 WORKING PROPRIETOR, SLATE QUARRY.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.1100,"Working Proprietor, Well
 Drilling/Proprietor, Well Drilling","Working Proprietor, Well Drilling plans,
 organizes, directs and controls the
 enterprise wholly or partially and is
 engaged in economic activities related to
 drilling and sinking of deep wells, and
 operating wells for extraction of crude
 petroleum, natural gas, water and other
 liquids and semi-liquids from deep below
 earth’s surface.
 Is designated according to the type of well
 such as:
 WORKING PROPRIETOR, OIL WELL.
 WORKING PROPRIETOR, GAS WELL.
 WORKING PROPRIETOR, WATER WELL.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.1200,"Working Proprietor,
 Construction/Proprietor,
 Construction","Working Proprietor, Construction
 formulates policies, plans, organizes and
 controls activities of the organization or
 enterprise, wholly or partially., Is engaged
 in construction, maintenance and repair
 of buildings, roads, bridges, railway tracks,
 aerodromes, canals, dams, etc. Is
 designated as:
 CONTRACTOR, BUILDING CONSTRUCTION.
 CONTRACTOR, CANAL CONSTRUCTION,
 etc.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.1300,"Director, Construction","Director, Construction plans, co-ordinates
 and controls, within powers delegated,
 activities of public or private organizations
 or one or more of its branches or
 departments engaged in construction,
 maintenance and repairs of buildings,
 roads, bridges, railway tracks,
 aerodromes, canals, dams, etc. Is
 designated according to work performed
 or authority exercised such as:
 MANAGING DIRECTOR(CONSTRUCTION).
 PROJECT DIRECTOR(CONSTRUCTION).",NA,NA
